Station Name,Station Number,Data Owner,Latitude,Longitude,Location
WHITEHEADS@MUMMEL G2,21210061,"NSW - Department of Planning, Industry and Environment – Water",-34.6415,149.5625,NSW
WHITEHEADS@MUMMEL G3,21210062,"NSW - Department of Planning, Industry and Environment – Water",-34.642,149.5586,NSW
WHITEHEADS@MUMMEL G4,21210063,"NSW - Department of Planning, Industry and Environment – Water",-34.6438,149.5583,NSW
WHITEHEADS@MUMMEL G5,21210064,"NSW - Department of Planning, Industry and Environment – Water",-34.6848,149.5569,NSW
Whiteman Rd,616086,WA - Department of Water and Environmental Regulation,-31.90008109,116.0076115,WA
Whites Ck D/S Moss,2122520,"NSW - Department of Planning, Industry and Environment – Water",-34.54592,150.33737,NSW
Whites Falls,111006A,"QLD - Department of Regional Development, Manufacturing and Water",-17.19444444,145.8255556,QLD
Whites Road Wetland outfall,A5041037.1,SA - City of Salisbury,-34.78264818,138.5848297,SA
Whyanbeel_Ck Main Rd,108004A,"QLD - Department of Regional Development, Manufacturing and Water",-16.38027778,145.3669444,QLD
WHYTE RIVER A/B ROCKY RIVER,350.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.62351,145.18626,TAS
Wi12,6031346,WA - Department of Water and Environmental Regulation,-34.99837287,117.4447981,WA
Wi6,6031350,WA - Department of Water and Environmental Regulation,-34.99408448,117.3856132,WA
Wick R Williams Xng,G8110232,"NT - Department of Environment, Parks and Water Security",-16.525911,130.753426,NT
Wicka,508011,WA - Department of Water and Environmental Regulation,-28.54225231,114.9468282,WA
Wickham US Steep C,G8110166,"NT - Department of Environment, Parks and Water Security",-16.482823,130.818025,NT
Wide Bay_C Brooyar,138002B,"QLD - Department of Regional Development, Manufacturing and Water",-26.00448408,152.4125058,QLD
Wide Bay_C Brooyar,138002C,"QLD - Department of Regional Development, Manufacturing and Water",-26.00538295,152.4115021,QLD
Wide Bay_C Brooyar,138002A,"QLD - Department of Regional Development, Manufacturing and Water",-26.00448408,152.4125058,QLD
Wide Bay_Ck Kilkivan,138010A,"QLD - Department of Regional Development, Manufacturing and Water",-26.07941476,152.2191617,QLD
Wights Catchment,612010,WA - Department of Water and Environmental Regulation,-33.4183015,115.9847619,WA
Wights Catchment,509220,WA - Department of Water and Environmental Regulation,-33.42073922,115.9895523,WA
Wigley Gorge,G0060046,"NT - Department of Environment, Parks and Water Security",-23.63413077,133.8824332,NT
WILD DOG CK,409229,"VIC - Department of Environment, Land, Water and Planning",-35.83138828,145.0038796,VIC
WILD DUCK CREEK,406235,"VIC - Department of Environment, Land, Water and Planning",-36.94717851,144.6647037,VIC
Wild_R Silver Valley,116014A,"QLD - Department of Regional Development, Manufacturing and Water",-17.6266,145.2959,QLD
Wilden Stn,G8140536,"NT - Department of Environment, Parks and Water Security",-14.567733,132.082728,NT
WILDES MEADOW,215233,"NSW - Department of Planning, Industry and Environment – Water",-34.60520243,150.5191395,NSW
WILDMAN R. CASHEW,RN024677,"NT - Department of Environment, Parks and Water Security",-12.707061,131.83568,NT
WILGA LAGOON,41210169,"NSW - Department of Planning, Industry and Environment – Water",-33.291567,147.482043,NSW
WILKUR @ LEONGATHA,227227,"VIC - Department of Environment, Land, Water and Planning",-38.3929462,145.9573587,VIC
WILLANDRA @ ROAD BDG,412012,"NSW - Department of Planning, Industry and Environment – Water",-33.345664,145.879248,NSW
WILLANDRA @ YILGA,412187,"NSW - Department of Planning, Industry and Environment – Water",-33.2222,145.5053,NSW
WILLANDRA HOMESTEAD,412042,"NSW - Department of Planning, Industry and Environment – Water",-33.197765,145.123197,NSW
Willare,802008,WA - Department of Water and Environmental Regulation,-17.73616098,123.6461979,WA
